date,name,discount_percent,rating_percent,sale_price,normal_price,steam_appid,deal_rating,year
12/8/25,White Shadows,94.047024,81,1.19,19.99,1158890,8.1,
12/8/25,Aoihana,94.047024,100,1.19,19.99,1919910,3.5,
12/8/25,Cursed to Golf,94.047024,70,1.19,19.99,1726120,9.9,
12/8/25,DuelVox: Max Quality,94.047024,84,1.19,19.99,1587940,1.5,
12/8/25,SteamWorld Heist,93.062041,93,1.04,14.99,322190,8.6,
12/8/25,Say No! More,93.062041,90,1.04,14.99,1191900,7.9,
12/8/25,Eternal Edge,93.062041,70,1.04,14.99,896440,4.8,
12/8/25,Brawlout,93.046523,74,1.39,19.99,263720,7,
12/8/25,Tower of Time,93.037215,83,1.74,24.99,617480,9.2,
12/8/25,Warhammer: End Times - Vermintide,93.03101,83,2.09,29.99,235540,7.8,
12/8/25,Robotex,92.092092,29,0.79,9.99,330350,4.9,
12/8/25,President for a Day - Floodings,92.092092,74,0.79,9.99,368770,1,
12/8/25,ALICE VR,92.092092,39,0.79,9.99,513320,7.1,
12/8/25,Crushing Blow,92.092092,47,0.79,9.99,653760,0.9,
12/8/25,Fariwalk: The Prelude,92.092092,64,0.79,9.99,738560,0.9,
12/8/25,Instant Death,92.092092,76,0.79,9.99,779360,1,
12/8/25,Umfend,92.092092,90,0.79,9.99,779090,4.9,
12/8/25,Top Burger,92.092092,80,0.79,9.99,1058930,1,
12/8/25,AVA: Dark History,92.092092,82,0.79,9.99,1162320,1,
12/8/25,Wire Lips,92.092092,88,0.79,9.99,1186220,4.9,
12/8/25,RUN! GRANDPA! RUN!,92.092092,82,0.79,9.99,1330570,0.9,
12/8/25,Boots Versus Plants,92.092092,82,0.79,9.99,1475170,1,
12/8/25,Run Ralph Run,92.092092,73,0.79,9.99,1505420,0.9,
12/8/25,Robot Robert,92.092092,75,0.79,9.99,1505400,0.9,
12/8/25,ACIIIIIIIIIIIIIIID,92.092092,76,0.79,9.99,1623380,1,
