internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb,release_date,release_year
DOUGANDLILY,Doug and Lily,/game/doug-and-lily/,nnVF9cflMYEHLJtUo2OKuOqVsNr35ywcXdcxXLPw1f8%3D,1,166775,0.49,4.99,1,90.180361,0,Very Positive,84,64,601180,1488326400,1764978208,0.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/601180/capsule_231x87.jpg?t=1662454136,2017-03-01 00:00:00+00:00,2017
NARBORIONSAGA,Narborion Saga,/game/narborion-saga/,WiewEnbgsT17Qtb66iU%2FH8U4h9O582DIE8CWWS8Nv7o%3D,1,167543,0.49,4.99,1,90.180361,0,Mixed,68,35,581340,1489968000,1764960092,0.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/581340/capsule_231x87.jpg?t=1686155506,2017-03-20 00:00:00+00:00,2017
BROCCOLIBOB,Broccoli Bob,/game/broccoli-bob/,23hjNiG9xudA0xHq09LPT8FPk0fqC23YDrzTCQxwzvY%3D,1,167585,0.49,4.99,1,90.180361,0,Mixed,68,75,604140,1490140800,1764960155,0.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/604140/capsule_231x87.jpg?t=1658219716,2017-03-22 00:00:00+00:00,2017
ROGUEPORTBLUENIGHTMARE,Rogue Port - Blue Nightmare,/game/rogue-port-blue-nightmare/,j%2FeR1OUtFAD%2BtGO4Z3geMs%2BOk5a3Ex0lOapcJa7kdIU%3D,1,167840,0.49,4.99,1,90.180361,0,Mostly Positive,78,65,595780,1490918400,1764982823,0.6,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/595780/capsule_231x87.jpg?t=1609434006,2017-03-31 00:00:00+00:00,2017
SPELLBINDLUPPESTALE,Spellbind : Luppe's tale,,%2BKJwIkcITcYYHWhYfiv8qUo59pB0CUXT8ScjyV7szI8%3D,1,168934,0.49,4.99,1,90.180361,0,Mostly Positive,76,43,440790,0,1764983099,0.6,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/440790/capsule_231x87.jpg?t=1664361770,1970-01-01 00:00:00+00:00,1970
POSSESSED,Possessed,/game/pc/possessed,4Q8g42lGgJ5kNE36hwQLWFeI5IzMxAwj7d96NVu7was%3D,1,168988,0.49,4.99,1,90.180361,0,Mixed,66,174,607210,1494979200,1764959962,4.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/607210/capsule_231x87.jpg?t=1609510600,2017-05-17 00:00:00+00:00,2017
STACK,Stack,/game/pc/stack,mBjSEIwJBXRMPwp74PyhgNjLnk%2Fw5VzxiRWAbH9sTpY%3D,1,169041,0.49,4.99,1,90.180361,0,Mostly Positive,76,55,637330,1495065600,1764983148,0.6,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/637330/capsule_231x87.jpg?t=1633954797,2017-05-18 00:00:00+00:00,2017
CYBERHUNT,Cyberhunt,/game/cyberhunt/,MW%2BSv1hp%2BeVV%2FrdL7sOqLC4OZSRZLWj477TN8am%2FuyI%3D,1,169055,0.49,4.99,1,90.180361,0,Very Positive,86,539,636150,1495152000,1763935591,2.8,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/636150/capsule_231x87.jpg?t=1762263076,2017-05-19 00:00:00+00:00,2017
FREEDOMFIGHTER,Freedom Fighter,/game/pc/freedom-fighter,6gB%2FrRDULPl1xm4%2FztBUWrUJX6sGT8HlRxIO3iKGrLc%3D,1,169258,0.49,4.99,1,90.180361,0,Mixed,68,69,514360,1495756800,1764960190,0.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/514360/capsule_231x87.jpg?t=1607681831,2017-05-26 00:00:00+00:00,2017
BREACHIT,BREACH IT,,4qnvVEwm1Av%2FYhOJR96EKt0SBBDkmJRTsyB6Usji26w%3D,1,169724,0.49,4.99,1,90.180361,0,Mixed,50,168,591790,0,1764959993,4.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/591790/capsule_231x87.jpg?t=1733347956,1970-01-01 00:00:00+00:00,1970
TRIVIANIGHT,Trivia Night,/game/pc/trivia-night,NpNpRfrmSrapz59dFFFVhcprMMAY1s%2Fah7F%2BNAQa55Y%3D,1,170414,0.49,4.99,1,90.180361,0,Mixed,63,58,628570,1498262400,1764959471,0.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/628570/capsule_231x87.jpg?t=1652470286,2017-06-24 00:00:00+00:00,2017
NOISE,Noise,/game/noise/,6%2BO8BytrNEUaKfxv%2BuRs%2F%2Fv61RCh3MXo3AjBDQtw0hM%3D,1,171679,0.49,4.99,1,90.180361,0,Mixed,56,151,676760,1501804800,1764793844,4.2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/676760/capsule_231x87.jpg?t=1762783538,2017-08-04 00:00:00+00:00,2017
TTV2,TTV2,/game/ttv2/,N%2BlWhD7Tz6QOc3JZsp2YGLH5DCKupbTJ88b9bIBhasQ%3D,1,172966,0.49,4.99,1,90.180361,0,Very Positive,85,748,701470,1505088000,1764874898,4.3,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/701470/capsule_231x87.jpg?t=1683418665,2017-09-11 00:00:00+00:00,2017
THEDOORBREAKER,The Doorbreaker,/game/the-doorbreaker/,jfvXKZLrd0rxKWl0pw0qzvoUH5wfx%2BEys8%2BO%2FEtWojQ%3D,1,174257,0.49,4.99,1,90.180361,0,Mostly Negative,30,30,699480,1508198400,1764960748,0.5,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/699480/capsule_231x87.jpg?t=1648287182,2017-10-17 00:00:00+00:00,2017
